PK,NOMBRE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,PLANTA,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL
11544480,Aparcamiento mixto. Alcántara,Plazas: 121 públicas y 254 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79df252aa267d710VgnVCM1000001d4a900aRCRD,CALLE ALCANTARA,26,,,MADRID,MADRID,28006,2,GOYA,4,SALAMANCA,442847,4475502,40.428193768950756,-3.673778093084516,,
13470,Aparcamiento mixto. Arquitecto Ribera,Plazas: 318 públicas y 298 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a50e15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE BARCELO,2,,,MADRID,MADRID,28004,4,JUSTICIA,1,CENTRO,440589,4475306,40.426273740022,-3.70037418702346,,
59060,Aparcamiento mixto. Avenida de América (intercambiador),"Información sobre accesibilidad:  Tiene escaleras adaptadas Ascensor de salida a la calle Avenida de América, 9 Tiene aseos accesibles Plazas para minusválidos    Plazas: 261 públicas y 395 para residentes  Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3bc2c6e051c010VgnVCM2000000c205a0aRCRD,AVENIDA AMERICA,9,,,MADRID,MADRID,28002,2,PROSPERIDAD,5,CHAMARTIN,442596,4476612,40.4381779662151,-3.67683406459837,917376257,intercambiador@intercambiador.net
5898885,Aparcamiento mixto. Avenida de Portugal,"Plazas: 428 públicas y 445 para residentes  Informacion sobre accesibilidad:  No tiene escalera adaptada Tiene ascensor de salida a Avenida de Portugal, s/n 1 aseo accesible (nivel-3) Plazas para minusválidos residentes: 20   Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c313e26f2b3fc210VgnVCM2000000c205a0aRCRD,AVENIDA PORTUGAL,155,,,MADRID,MADRID,28011,2,PUERTA DEL ANGEL,10,LATINA,437376,4473663,40.4112391063366,-3.73808787568741,917877292,aparcamientos@emtmadrid.es
13475,Aparcamiento mixto. Brasil,Plazas: 226 públicas y 402 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb2e15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE SAN GERMAN,7,,,MADRID,MADRID,28020,2,CUATRO CAMINOS,6,TETUAN,441198,4478611,40.4560925110791,-3.69349688854822,,
183747,Aparcamiento mixto. Casino de la Reina,Plazas: 135 públicas y 449 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5f4bdc85c01c010VgnVCM2000000c205a0aRCRD,CALLE CASINO,3,,,MADRID,MADRID,28005,2,EMBAJADORES,1,CENTRO,440274,4473180,40.40709468568204,-3.7038875277131464,,
13477,Aparcamiento mixto. Condesa de Gavia,Plazas: 146 públicas y 79 para residentes  El horario de apertura para la parte del aparcamiento rotacional es de lunes a viernes de 9:00h a 20:40h. Sábados de 9:00 a 14:30h.  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e5f15cbed51c010VgnVCM2000000c205a0aRCRD,PLAZA CONDESA DE GAVIA,2,,,MADRID,MADRID,28020,2,CUATRO CAMINOS,6,TETUAN,440464,4477836,40.44905426535144,-3.7020861495783635,,
81736,Aparcamiento mixto. Corona Boreal,Plazas: 125 públicas y 125 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas Ascensor de salida a la calle Pérez de Victoria 2 aseos accesibles (1&amp;ordf; planta) Plazas para minusválidos residentes: 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db8bc2c6e051c010VgnVCM2000000c205a0aRCRD,CALLE PEREZ DE VICTORIA,2,,,MADRID,MADRID,28023,7,ARAVACA,9,MONCLOA-ARAVACA,433515,4478978,40.4588137783281,-3.78414489510692,913573714,parkingcoronaboreal@hotmail.com
183748,Aparcamiento mixto. Daoíz y Velarde,Plazas: 235 públicas y 253 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0f85bdc85c01c010VgnVCM2000000c205a0aRCRD,AVENIDA CIUDAD DE BARCELONA,156,,,MADRID,MADRID,28007,1,PACIFICO,3,RETIRO,442498,4472658,40.40255344121901,-3.67763144165245,,
44724,Aparcamiento mixto. Díaz Porlier,Plazas: 203 públicas y 421 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e69946be351c010VgnVCM2000000c205a0aRCRD,CALLE DIEGO DE LEON,64,,,MADRID,MADRID,28006,5,LISTA,4,SALAMANCA,442707,4476204,40.434510199279615,-3.6754840133107027,914017374,
36269,Aparcamiento mixto. Encuentro,Plazas: 104 públicas y 550 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3e12c798651c010VgnVCM2000000c205a0aRCRD,PLAZA ENCUENTRO,5,,,MADRID,MADRID,28030,4,MEDIA LEGUA,14,MORATALAZ,444728,4473010,40.4058768185719,--3.65138632197171,913283680,
13464,Aparcamiento mixto. Felipe II,Plazas: 1175 públicas rotacionales y 615 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor de salida a la plaza de Felipe II Aseo accesible (1&amp;ordf; planta) Plazas para minusválidos residentes:23   Abierto 24 horas   Admite tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=425e15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE GOYA,88,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441502,4475253,40.4242207643363,-3.67342185936768,,
24809,Aparcamiento mixto. Fernández Shaw,Plazas: 245 públicas y 350 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0e6e6545f951c010VgnVCM2000000c205a0aRCRD,CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW,1,,,MADRID,MADRID,28007,2,ADELFAS,3,RETIRO,443245,4472913,40.40489977502076,-3.668850975462272,,
13462,Aparcamiento mixto. Fuencarral,"Plazas: 410 públicas y 111 para residentes  Información sobre accesibilidad:   No tiene escalera adaptada 1 ascensor con salida a la calle Fuencarral, 117 1 aseo accesible en la 1&amp;ordf; planta Plazas para minusválidos residentes: 7   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=987e15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE FUENCARRAL,121,,,MADRID,MADRID,28010,3,TRAFALGAR,7,CHAMBERI,440387,4475680,40.4296270729669,-3.70279096159205,915911200,aparcamientos@emtmadrid.es
36270,Aparcamiento mixto. Hernani,"Plazas: 115 públicas y 380 residentes  Información sobre accesibilidad:  No tiene escaleras adptadas Ascensor de salida a la calle Hernai, 68 1 aseo accesible en 1&amp;ordf; planta Plazas para minusválidos residentes. 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0712c798651c010VgnVCM2000000c205a0aRCRD,CALLE HERNANI,79,,,MADRID,MADRID,28020,2,CUATRO CAMINOS,6,TETUAN,440843,4477735,40.44817621258857,-3.6976113125092684,915545326,
13459,Aparcamiento mixto. Jacinto Benavente,"Plazas: 285 públicas y 110 para residentes.  Plazas motos: 7.  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor con salida a la calle Jacinto benavente, s/n 1 aseo accesible Plaza para minusválidos residentes: 16  Abierto 24 horas  Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información)",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c48f15cbed51c010VgnVCM2000000c205a0aRCRD,PLAZA JACINTO BENAVENTE,6,,,MADRID,MADRID,28012,3,CORTES,1,CENTRO,440329,4473995,40.4144481124785,-3.70332121750772,917877292,aparcamientos@emtmadrid.es
13479,Aparcamiento mixto. José Castán Tobeñas,Plazas: 226 públicas y 43 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas No disponde ascensor No disponde de aseos accesible Plazas para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35ce15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE POETA JOAN MARAGALL,57,,,MADRID,MADRID,28020,3,CASTILLEJOS,6,TETUAN,441369,4479549,40.4645483266289,-3.69157198480319,915707612,aeuropeos@gmail.com
6143690,Aparcamiento mixto. Marqués de Salamanca,Plazas: 356 públicas y 70 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida a la plaza del Marqués de Salamanca 1 aseo accesible en 2&amp;ordf;  planta Plaza para minusválidos residentes: 14   Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb5b1b2bb5b61310VgnVCM2000000c205a0aRCRD,PLAZA MARQUES DE SALAMANCA,,,,MADRID,MADRID,28006,6,CASTELLANA,4,SALAMANCA,442381,4475761,40.4304997416021,-3.67929374257782,917877292,aparcamientos@emtmadrid.es
182188,Aparcamiento mixto. Miguel Yuste,Plazas: 168  públicas y 68 para residentes Abierto: 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c15bdc85c01c010VgnVCM2000000c205a0aRCRD,CALLE MIGUEL YUSTE,64,,,MADRID,MADRID,28037,1,SIMANCAS,20,SAN BLAS-CANILLEJAS,447200,4476147,40.43429571608524,-3.622514147448957,,
13465,Aparcamiento mixto. Montalbán,Plazas:   146 Residenciales 130 Rotacionales    Abierto 24 horas    Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0967339ae51c010VgnVCM2000000c205a0aRCRD,CALLE MONTALBAN,4,OT,,MADRID,MADRID,28014,5,LOS JERONIMOS,3,RETIRO,441381,4474402,40.4181859174944,-3.69095813503217,,
5517342,Aparcamiento mixto. Orense,Plazas: 129 públicas y 663 para residentes  Información sobre accesibilidad:  1 escalera adaptada No dispone de ascensor 1 aseo accesible Plaza para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eee35ed15bb95210VgnVCM2000000c205a0aRCRD,AVENIDA BRASIL,2,,,MADRID,MADRID,28020,2,CUATRO CAMINOS,6,TETUAN,441141,4478277,40.4530722916738,-3.6941384720253,,aparcamientos@emtmadrid.es
