ID,RegistrationDate,District,Hood,Street,Direction,Number,Company,Places,Longitude,Latitude
001 a,07-12-2019,01  CENTRO,01-06 SOL," CALLE, DE, ALCALA"," CALLE, DE, ALCALA 2",2,BiciMAD,30,-3.701998,40.4171107
001 b,09-02-2020,01  CENTRO,01-06 SOL," CALLE, DE, ALCALA"," CALLE, DE, ALCALA 6",6,BiciMAD,30,-3.7015636,40.4172132
2,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," CALLE, DE, MIGUEL MOYA"," CALLE, DE, MIGUEL MOYA 1",1,BiciMAD,24,-3.7056739,40.42058
3,26-06-2014,07  CHAMBERÍ,07-02 ARAPILES," PLAZA, DEL, CONDE DEL VALLE DE SUCHIL"," PLAZA, DEL, CONDE DEL VALLE DE SUCHIL 2",2,BiciMAD,18,-3.7072122,40.4303224
4,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," CALLE, DE, MANUELA MALASAÑA"," CALLE, DE, MANUELA MALASAÑA 3",3,BiciMAD,24,-3.7026739,40.4285905
5,26-06-2014,01  CENTRO,01-04 JUSTICIA," CALLE, DE, FUENCARRAL"," CALLE, DE, FUENCARRAL 106",106,BiciMAD,27,-3.7020743,40.428362
6,26-06-2014,01  CENTRO,01-04 JUSTICIA," CALLE, DE, HORTALEZA"," CALLE, DE, HORTALEZA 63",63,BiciMAD,24,-3.6984093,40.4241633
7,26-06-2014,01  CENTRO,01-04 JUSTICIA," CALLE, DE, HORTALEZA"," CALLE, DE, HORTALEZA 75",75,BiciMAD,21,-3.6977399,40.4252161
8,26-06-2014,07  CHAMBERÍ,07-04 ALMAGRO," PLAZA, DE, ALONSO MARTINEZ"," PLAZA, DE, ALONSO MARTINEZ 6",6,BiciMAD,24,-3.6953067,40.4277143
9,26-06-2014,01  CENTRO,01-01 PALACIO," PLAZA, DE, SAN MIGUEL"," PLAZA, DE, SAN MIGUEL 9",9,BiciMAD,24,-3.7094093,40.4156134
10,26-06-2014,01  CENTRO,01-04 JUSTICIA," CALLE, DEL, MARQUES DE LA ENSENADA"," CALLE, DEL, MARQUES DE LA ENSENADA 16",16,BiciMAD,24,-3.6920816,40.4254027
11,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," CALLE, DE, SAN ANDRES"," CALLE, DE, SAN ANDRES 20",20,BiciMAD,24,-3.7036192,40.4270517
12,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," CALLE, DE, SAN BERNARDO"," CALLE, DE, SAN BERNARDO 87",87,BiciMAD,24,-3.7062202,40.4285271
13,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," CALLE, DEL, CONDE DUQUE"," CALLE, DEL, CONDE DUQUE 22",22,BiciMAD,24,-3.7104727,40.4273652
