AÑO,ID_MEASURE,MES,ID,TIPOEDIFICIO,EDIFICIO,DIRECCION,DISTRITO,CÓDIGO DISTRITO,BARRIO,CÓDIGO BARRIO,LONGITUD,LATITUD,CLASE,UNIDADES,CONSUMO,MEASURE_TYPE_ID
2020,2,3,2258,Centros culturales y bibliotecas,Biblioteca Ana María Matute,"Calle Isaac Albeniz, 1 28019 Madrid",Carabanchel,11,San Isidro,113,-3.7202936410904,40.3977521494866,Energía Reactiva,kvarh,104,3
2020,4,3,2178,Centros culturales y bibliotecas,Biblioteca Ángel González,"Calle Granja De Torrehermosa, 1 28024 Madrid",Latina,10,Aluche,104,-3.7663713097572,40.3969681670062,Energía Reactiva,kvarh,4262,3
2020,6,3,2096,Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"Paseo Fernan Nuñez, 24 28009 Madrid",Retiro,3,Los Jeronimos,35,-3.6796432754374946,40.41678861549688,Energía Reactiva,kvarh,4173,3
2020,8,3,1208,Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"Calle Monte Aya, 12 28031 Madrid",Villa De Vallecas,18,Casco Historico De Vallecas,181,-3.6226612333620114,40.378016410030774,Energía Reactiva,kvarh,1449,3
2020,10,3,1526,Centros culturales y bibliotecas,Biblioteca José Hierro,"Calle Maria Sevilla Diago, 15 28022 Madrid",San Blas - Canillejas,20,Rosas,205,-3.610550602425999,40.433453540244685,Energía Reactiva,kvarh,80,3
2020,13,3,941,Centros culturales y bibliotecas,Biblioteca Mario Vargas Llosa,"Calle Barcelo, 4 28004 Madrid",Centro,1,Justicia,14,-3.6990826662067344,40.42683538680111,Energía Reactiva,kvarh,1190,3
2020,15,3,850,Centros culturales y bibliotecas,Biblioteca Miguel Delibes,"Calle Arroyo Belincoso, 11 (junto A Centro Cultural Eduardo Chillida) 28030 Madrid",Moratalaz,14,Media Legua,144,-3.6530587077141,40.4097421858525,Energía Reactiva,kvarh,1259,3
2020,18,3,20,Centros culturales y bibliotecas,Biblioteca Pío Baroja,"Calle Arganda, 12 28005 Madrid",Arganzuela,2,Acacias,22,-3.7076765298843,40.4002580548243,Energía Reactiva,kvarh,933,3
2020,20,3,906,Centros culturales y bibliotecas,Cc Conde Duque,"Calle Conde Duque, 11 28015 Madrid",Centro,1,Universidad,15,-3.710680603981,40.4272912991656,Energía Reactiva,kvarh,0,3
2020,25,3,1119,Centros mixtos,Cdi Arganzuela,"Calle Canarias, 17 28045 Madrid",Arganzuela,2,Palos De La Frontera,26,-3.6954429745674,40.4026590845045,Energía Reactiva,kvarh,8505,3
2020,27,3,631,Centros deportivos,Cdm Aluche,"Avenida De Las Aguilas, 14 28044 Madrid",Latina,10,Aguilas,107,-3.7716686725616,40.3830956005522,Energía Reactiva,kvarh,1949,3
2020,29,3,1971,Centros deportivos,Cdm Ángel Nieto - Puente De Vallecas,"Calle Payaso Fofo, 7 28018 Madrid",Puente De Vallecas,13,Palomeras Bajas,133,-3.6594303931969576,40.39165542230783,Energía Reactiva,kvarh,8590,3
2020,31,3,1692,Centros deportivos,Cdm Barajas,"Avenida Logroño, 70 28042 Madrid",Barajas,21,Alameda De Osuna,211,-3.5866347723157004,40.46294933734348,Energía Reactiva,kvarh,2764,3
