id_compteur,nom_compteur,id,name,channel_id,channel_name,installation_date,counter,latitud,longitud
100003096-353242251,97 avenue Denfert Rochereau SO-NE,100003096,avenue Denfert Rochereau,353242251,SO-NE,2012-02-22,X2H20012081,48.83504,2.33314
100003097-101003097,105 rue La Fayette E-O,100003097,rue La Fayette,101003097,E-O,2012-02-13,,48.87773,2.3506
100003098-101003098,106 avenue Denfert Rochereau NE-SO,100003098,avenue Denfert Rochereau,101003098,NE-SO,2012-02-22,Y2H16029278,48.83505,2.33333
100003099-353242239,100 rue La Fayette O-E,100003099,rue La Fayette,353242239,O-E,2012-02-22,,48.87813,2.3497
100006300-101006300,135 avenue Daumesnil SE-NO,100006300,avenue Daumesnil,101006300,SE-NO,2013-01-19,X2H18086316,48.843435,2.383378
100007049-101007049,28 boulevard Diderot O-E,100007049,boulevard Diderot,101007049,O-E,2013-01-18,Y2H21015011,48.84613,2.37559
100007049-102007049,28 boulevard Diderot E-O,100007049,boulevard Diderot,102007049,E-O,2013-01-18,Y2H21015011,48.84613,2.37559
100036718-103036718,39 quai François Mauriac SE-NO,100036718,quai François Mauriac,103036718,SE-NO,2017-07-12,Y2H21015068,48.83436,2.377
100036718-104036718,39 quai François Mauriac NO-SE,100036718,quai François Mauriac,104036718,NO-SE,2017-07-12,Y2H21015068,48.83436,2.377
100036719-103036719,18 quai de l'Hôtel de Ville SE-NO,100036719,quai de l'Hôtel de Ville,103036719,SE-NO,2017-07-12,Y2H21015012,48.85372,2.35702
100036719-104036719,18 quai de l'Hôtel de Ville NO-SE,100036719,quai de l'Hôtel de Ville,104036719,NO-SE,2017-07-12,Y2H21015012,48.85372,2.35702
100041488-101041488,27 boulevard Diderot E-O,100041488,boulevard Diderot,101041488,E-O,2013-01-17,Y2H20124971,48.846099,2.375456
100042374-109042374,Voie Georges Pompidou SO-NE,100042374,Voie Georges Pompidou,109042374,SO-NE,2017-12-15,Y2H21025335,48.84837,2.27596
100042374-110042374,Voie Georges Pompidou NE-SO,100042374,Voie Georges Pompidou,110042374,NE-SO,2017-12-15,Y2H21025335,48.84837,2.27596
100044493-101044493,67 boulevard Voltaire SE-NO,100044493,boulevard Voltaire,101044493,SE-NO,2018-06-27,Y2H18034809,48.86149,2.37376
