"Nº
RADAR",Longitud,Latitud
1,-367.433.808,4.047.934.148
2,-367.429.089,4.047.934.175
3,-366.880.283,4.045.892.328
4,-366.014.384,4.042.618.023
5,-366.006.141,4.042.618.971
6,-365.926.082,4.041.663.568
7,-365.929.627,4.041.664.449
8,-3.670.048,40.397.352
9,-3.669.973,40.397.323
10,-369.499.826,4.038.678.654
11,-3.699.691,4.039.118
12,-3.703.274,40.394.924
13,-371.017.703,4.039.052.318
14,-3.708.108,4.039.657
15,-3.709.684,40.397.139
16,-3.722.988,40.403.114
17,-3.721.414,4.040.939
18,-3.731.092,4.041.389
19,-373.102,40.413.797
20,-374.545.156,4.040.744.539
21,-3.727.663,40.422.937
22,-3.727.724,40.422.839
23,-373.482.875,4.042.763.957
24,-374.530.618,4.047.434.710
25,-373.089.695,4.047.279.048
26,-368.542.793,4.048.048.344
27,-3.696.519,40.378.590
28,-376.358.611.606.955,404.001.241.953.525
29,-374.574.755.307.117,404.072.412.609.861
